# Google Correlate
# Copyright  Google Inc.
#
# Exported data may be used for any purpose, subject to the Google Correlate Terms of Service (http://correlate.googlelabs.com/tos).
#
# If you choose to use the data, please attribute it to Google as follows: "Data Source: Google Correlate (http://correlate.googlelabs.com)".
#
# Each week begins on the Sunday (Pacific Time) indicated for the row
#
# Source: https://www.google.com/trends/correlate/csv?e=data+analytics&t=all

State,data analytics,enterprise data,unstructured data,big data analytics,data integration,portfolio management,proof of concept,use cases,part time phd,identity and access management,11g,application security,data architecture,senior director,consulting company,analyst,architecture diagram,for oracle,expdp,condolence email,it infrastructure,oracle database,deloitte consulting,j2ee,with oracle,consulting companies,oracle data guard,part time mba programs,enterprise edition,what is oracle,salary negotiation,impdp,data analyst,using oracle,business process,alter table modify,oracle rac,oracle server,cloud computing,system integration,research analyst,oracle function,metadata management,materialized views,oracle 11g,sample project,risk and compliance,consulting resume,it industry,oracle schema,thought leadership,part time masters,rman backup,oracle data,reference architecture,download oracle,clob,management consulting,cio magazine,oracle 9i,application development,database oracle,9i,redo log,global business services,control file,oracle xml,approval process,business process management,string function,tablespace,bullets in excel,data management,alter table modify column,functional requirement,management consulting firms,quick turnaround,xmltype,oracle installation,schema oracle,axis2,enterprise service bus,winrunner,connect to oracle,job email,oracle certification,work life balance,oracle user,it companies,data capture,etl tools,acheampong,tablespace oracle,acceptance testing,soa architecture,10g,oracle performance,analyst position,mckenzie consulting,engagement manager
Alabama,-0.792,-0.477,-0.397,-0.604,-0.791,-0.329,-0.834,-0.629,-0.430,-0.770,-0.366,-0.291,-0.555,-0.823,-0.563,-0.329,-0.782,-0.316,-0.458,-0.281,-0.524,-0.212,-0.742,-0.656,-0.282,-0.891,-0.508,-0.625,-0.365,-0.428,-0.528,-0.156,-0.860,-0.336,-0.483,-0.708,-0.704,-0.058,-0.421,0.493,-0.277,-0.535,-0.412,-0.541,-0.253,-0.497,-0.446,-0.496,-0.713,-0.305,-0.866,-0.870,-0.478,-0.454,-0.763,-0.575,-0.582,-0.683,-0.841,-0.502,-0.628,-0.303,-0.511,-0.220,-0.664,-0.770,-0.307,-0.234,-0.726,-0.642,-0.422,-0.576,-0.199,-0.614,-0.065,-0.436,-0.211,0.215,-0.386,-0.387,-0.615,-0.520,-0.149,-0.467,-0.443,-0.204,-0.982,-0.242,-0.574,-0.533,-0.864,-0.423,-0.147,-0.477,-0.531,-0.368,-0.639,-0.418,-0.459,-0.767
Alaska,-1.339,-1.209,-1.232,-1.322,-1.190,-1.073,-1.191,-1.407,-1.098,-1.801,-1.154,-1.252,-1.562,-1.014,-1.345,-1.378,-1.438,-1.010,-1.283,-1.233,-1.556,-0.973,-1.136,-1.408,-1.035,-1.313,-1.557,-0.981,-1.216,-1.353,-0.806,-1.241,-1.655,-0.986,-1.345,-1.301,-1.376,-0.516,-1.250,-1.176,-1.024,-0.834,-1.433,-1.550,-1.084,-0.786,-1.366,-1.103,-1.159,-0.579,-1.595,-0.870,-1.226,-1.007,-1.019,-1.096,-1.198,-0.982,-1.355,-1.060,-1.806,-1.086,-1.049,-1.281,-1.405,-1.222,-0.587,-0.888,-1.060,-1.546,-1.248,-1.012,-0.504,-1.759,-1.363,-1.043,-1.841,-1.551,-1.507,-1.659,-1.767,-1.938,-1.373,-0.970,-1.728,-1.330,-1.219,-0.912,-1.453,-0.618,-1.786,-1.042,-1.719,-1.055,-1.520,-0.867,-1.595,-1.197,-1.482,-1.560
Arizona,-0.003,-0.077,-0.053,-0.048,-0.172,-0.077,-0.041,0.316,-0.235,0.144,-0.365,-0.010,-0.053,-0.170,0.011,-0.090,0.341,0.128,-0.259,-0.076,0.225,-0.116,-0.375,0.377,-0.213,0.020,0.070,-0.287,0.489,-0.255,-0.125,-0.332,-0.124,-0.219,0.554,-0.085,0.228,0.065,0.132,0.562,-0.397,-0.273,0.151,-0.116,-0.344,0.227,-0.016,-0.162,0.459,-0.194,-0.078,-0.232,-0.028,-0.226,0.414,-0.142,-0.319,-0.180,0.072,0.403,0.310,-0.158,0.413,0.050,-0.084,-0.103,-0.120,0.175,-0.011,-0.056,-0.034,-0.310,-0.236,-0.094,0.187,-0.034,-0.075,-0.167,0.049,-0.082,0.203,0.051,0.138,-0.113,0.049,0.040,-0.219,-0.168,0.396,0.288,0.097,-0.296,-0.155,0.231,0.506,0.153,0.019,-0.111,-0.171,0.147
Arkansas,0.092,0.100,-0.012,0.122,0.304,-0.637,-0.656,-0.317,-0.306,-0.679,-0.309,-0.542,-0.269,0.082,-0.709,-0.255,-0.206,-0.389,0.239,-0.268,-0.373,-0.407,-0.636,-0.299,-0.505,-0.905,0.150,-0.367,-0.538,-0.548,-1.008,-0.118,-0.222,-0.275,-0.292,0.143,-0.350,-0.620,-0.187,-0.705,-0.638,-0.165,-0.174,-0.463,-0.365,-0.113,-0.309,-1.103,-0.014,-0.394,-0.155,-0.870,-0.215,-0.166,-0.320,-0.292,-0.376,-0.932,-0.688,-0.343,-0.348,-0.337,-0.316,-0.433,-0.343,0.692,-0.432,-0.876,-0.478,-0.170,0.473,-0.485,-0.448,0.086,-0.194,-0.793,-0.146,-0.007,-0.417,-0.204,0.114,-0.249,-0.696,-0.231,-0.697,-0.145,-0.487,-0.250,0.071,-0.415,0.351,-0.374,0.122,-0.851,0.050,-0.232,-0.303,-0.563,-0.524,0.106
California,0.558,0.497,0.910,1.345,1.024,0.333,0.949,1.482,0.385,0.560,0.626,0.741,0.354,0.963,0.535,0.390,1.172,0.917,0.497,0.956,0.249,0.743,0.342,0.957,0.776,0.318,0.556,0.637,1.395,0.968,1.010,0.437,0.757,0.523,0.159,0.801,1.118,0.827,0.918,0.707,0.373,0.272,0.560,0.633,0.391,0.649,0.460,0.656,0.537,0.640,0.665,0.934,0.549,0.549,0.871,1.398,0.558,0.390,0.689,0.689,0.914,0.842,0.666,0.968,0.130,0.526,0.561,0.765,0.277,1.413,0.580,0.106,0.118,0.686,0.315,0.341,1.203,0.313,1.122,0.670,1.280,0.416,1.188,0.478,1.175,0.277,0.282,0.645,0.375,0.292,0.492,-0.252,0.609,0.600,0.836,1.083,0.852,0.291,0.458,0.896
Colorado,0.073,0.642,0.630,0.244,1.026,0.442,0.380,0.782,-0.329,0.468,1.134,0.595,0.675,0.200,0.567,0.028,0.863,1.043,1.150,0.061,0.534,1.059,-0.184,0.528,1.117,0.701,0.965,-0.278,0.831,1.180,0.634,1.275,0.177,0.736,0.569,0.714,1.033,1.039,0.495,0.602,-0.231,0.654,0.532,0.825,0.954,0.315,0.112,0.141,0.327,0.810,0.785,-0.350,1.103,1.544,1.008,1.230,0.732,0.181,0.841,0.758,0.798,0.995,0.903,1.374,-0.105,1.097,1.057,0.295,0.955,0.601,1.203,0.417,0.657,0.584,0.041,0.256,0.218,0.800,0.663,0.634,0.992,0.993,0.306,0.789,0.168,0.644,0.384,1.345,0.326,0.567,0.672,-0.186,1.162,0.581,0.717,1.154,0.810,-0.148,0.268,0.585
Connecticut,1.390,0.998,1.165,1.388,1.011,2.163,1.405,0.871,1.443,1.102,1.235,0.521,1.489,1.344,1.242,1.302,1.123,1.170,0.906,1.636,1.021,0.787,1.198,0.729,1.062,1.433,0.319,2.201,0.713,0.869,0.683,0.968,1.010,1.406,0.971,1.334,0.504,0.868,0.608,0.825,1.712,1.693,1.698,1.366,1.227,1.051,1.374,1.193,1.307,1.080,1.665,1.833,0.707,0.722,1.016,0.424,1.587,1.300,1.617,1.638,1.105,1.022,1.692,0.717,1.089,1.124,1.530,0.950,1.012,1.526,1.219,1.700,1.647,1.477,1.187,1.582,1.092,1.758,0.767,0.988,0.960,0.882,1.026,1.530,0.967,0.861,1.387,0.734,1.120,2.589,1.430,1.706,1.040,1.059,0.883,0.775,1.271,1.059,1.122,1.259
Delaware,0.820,0.861,1.288,1.566,1.243,1.092,1.407,1.049,1.726,1.360,1.586,1.060,1.684,0.922,1.826,1.963,1.293,1.435,1.524,0.988,0.672,1.345,1.058,1.292,1.316,1.299,1.203,0.788,0.395,1.135,1.232,1.509,1.850,1.933,2.103,1.500,1.350,1.329,1.462,0.303,0.642,1.480,1.228,1.863,1.777,2.014,0.947,0.641,1.723,1.234,0.483,0.697,1.823,1.051,0.275,1.022,1.054,0.609,0.565,1.292,1.297,1.416,1.342,1.477,0.826,1.707,0.046,1.650,2.544,0.848,1.436,0.929,2.130,1.418,1.642,0.806,0.404,1.174,1.423,1.383,1.494,0.350,1.289,1.723,0.950,1.389,1.444,0.986,1.652,0.921,1.998,1.348,1.384,1.983,1.782,1.677,2.103,1.583,0.736,0.748
District of Columbia,2.544,3.258,1.734,1.059,1.874,2.824,2.286,1.771,2.620,2.339,1.999,2.623,2.898,3.881,2.669,2.543,1.585,2.152,2.175,2.257,2.627,2.290,3.761,2.266,2.258,2.363,2.422,2.253,1.986,1.866,3.325,2.125,1.464,2.317,2.890,1.902,2.190,2.320,2.284,2.617,3.229,2.406,2.480,1.980,1.992,2.675,2.633,2.887,1.514,2.680,2.745,2.739,2.352,2.521,1.951,1.969,2.174,3.386,2.637,3.006,1.399,2.111,2.927,2.230,3.225,2.169,2.498,3.257,2.214,1.996,2.265,2.966,2.113,1.819,2.242,3.180,3.173,2.280,2.192,2.195,1.952,2.642,2.767,2.002,2.333,2.490,2.870,2.644,1.352,1.215,1.423,2.373,2.503,2.700,1.795,3.030,1.686,3.766,3.673,2.208
Florida,-0.619,-0.584,-0.592,-0.494,-0.372,-0.461,-0.714,-0.508,-0.457,-0.412,-0.636,-0.509,-0.498,-0.220,-0.158,-0.110,-0.566,-0.644,-0.732,-0.024,-0.223,-0.670,-0.486,-0.598,-0.609,-0.294,-0.405,-0.532,-0.186,-0.455,-0.531,-0.739,-0.465,-0.557,-0.241,-0.631,-0.474,-0.641,-0.129,-0.200,-0.247,-0.619,-0.292,-0.491,-0.663,-0.212,-0.134,-0.214,-0.254,-0.619,-0.436,-0.302,-0.595,-0.616,-0.534,-0.492,-0.584,-0.248,-0.388,-0.557,-0.107,-0.480,-0.526,-0.653,-0.116,-0.787,-0.528,-0.142,-0.227,-0.828,-0.777,-0.743,-0.781,-0.515,-0.297,-0.166,-0.157,-0.398,-0.368,-0.490,-0.717,-0.425,-0.352,-0.677,0.086,-0.233,-0.650,-0.704,-0.244,-0.398,-0.452,-0.190,-0.563,-0.588,-0.288,-0.702,-0.422,-0.093,-0.199,-0.273
