@relation a2-p1

@attribute A1 numeric
@attribute A2 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute A5 numeric
@attribute A6 numeric
@attribute A7 numeric

@data
3860.52,12.91,18.97,69.02,2.3,2,0
1962.62,4.37,8.12,89.05,2.84,3,0
5180.87,9.28,13.57,75.11,2.71,3,0
3617.57,12.11,12.7,66.92,2.42,2,0
5850.09,9.9,13.52,60.96,2.8,2,0
2724.96,9.64,13.66,78.76,2.77,3,0
5466.81,10.73,14.9,66.47,2.73,3,0
11175.31,12.05,16.22,62.77,2.53,2,0
3105.21,7.36,9.53,79.74,2.78,3,0
1579.65,5.96,8.03,85.76,2.89,3,0
7428.52,11.21,15.05,62.84,2.62,3,6.88
2627.11,6.36,7.74,85,2.85,3,0
3993.92,10.76,14.45,64.53,2.58,2,0
4561.76,9.85,14.91,61.84,2.96,3,0
1337.28,7.69,10.48,80.89,2.85,3,0
5502.07,9.84,13.94,66.76,2.5,2,7.02
4627.88,12.17,15.68,60.35,2.45,2,0
5885.84,7.95,12.98,67.5,2.73,2,0
1223.96,3.35,5.44,91.33,2.93,3,0
3385.92,5.7,7.56,82.07,2.87,3,0
6797.4,6.02,12.1,61.51,4.24,1,0
2642.98,5.67,8.83,88.75,2.92,3,0
7159.61,8.95,14.28,64.08,3.25,2,0
3574.56,9.2,14.4,78.7,2.59,3,0
9454.95,10.89,16.43,60.87,2.75,2,9.79
3396.77,9.77,13.82,68.52,2.59,2,0
4975.71,7.96,9.43,78.6,2.58,3,0
5216.01,5.78,10.18,66.94,3.21,2,0
6331.38,11.94,15.68,62.3,2.37,2,0
6068.38,8.05,12.85,63.09,2.68,3,0
9352.36,15.08,18.93,64.79,2.56,2,0
4888,6.97,9.88,81.65,3.06,3,0
5382.32,11.13,13.07,67.26,2.35,3,0
10344.33,7.09,10.55,48.55,2.35,3,0
3367.18,8.48,11.24,66.82,2.42,3,0
3982.72,9.57,14.62,68.74,2.84,2,0
4210.9,7.28,10.11,79.25,2.84,3,0
11058.21,13.75,14.77,45.27,2.14,2,12.6
2289.04,6.02,8.93,85.72,3.22,3,0
5116.78,8.68,12.48,74.85,2.54,3,0
7349.19,12.77,16.24,61.88,2.67,2,4.27
6613.16,9.7,14.48,55,2.61,3,0
4952.91,7.67,11.67,78.73,3.18,3,0
6696.6,12.24,14.16,55.43,2.43,2,0
2899.17,8.67,12.35,61.81,3.75,2,0
5420.42,11.66,16.48,47.32,2.73,3,0
8405.06,10.06,13.84,68.35,2.64,3,4.96
