@relation a9-clustering-weka.filters.unsupervised.attribute.Normalize-S100.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S50.0-T0.0

@attribute A1 numeric
@attribute A2 numeric

@data
0,24
0.105369,21.6
0.105269,34.7
0.13077,33.4
0.314903,36.2
0.11812,28.7
0.411487,22.9
0.69391,27.1
1.028692,16.5
0.821869,18.9
1.097215,15
0.55797,18.9
0.439047,21.7
3.12965,20.4
3.170813,18.2
3.117752,19.9
5.25897,23.1
3.904934,17.5
3.997853,20.2
3.611768,18.2
6.252221,13.6
4.245489,19.6
6.155236,15.2
4.930162,14.5
3.734556,15.6
4.187759,13.9
3.341241,16.6
4.76621,14.8
3.84866,18.4
5.000542,21
5.644905,12.7
6.768927,14.5
6.935941,13.2
5.749873,13.1
8.064581,13.5
0.290405,18.9
0.45742,20
0.370574,21
0.847019,24.7
0.106976,30.8
0.136895,34.9
0.608019,26.6
0.678599,25.3
0.768256,24.7
0.584174,21.2
0.828797,19.3
0.913835,20
1.119202,16.6
1.242693,14.4
1.071512,19.4
0.413696,19.7
0.18599,20.5
0.237344,25
0.218318,23.4
0.036545,18.9
0.034086,35.4
0.071434,24.7
0.04016,31.6
0.743608,23.3
0.486736,19.6
0.717856,18.7
0.830253,16
0.521826,22.2
0.6033,25
0.066213,33
0.148189,23.5
0.188098,19.4
0.25888,22
0.64868,17.4
0.611633,20.9
0.411336,24.2
0.765244,21.7
0.428304,22.8
0.949126,23.4
0.364651,24.1
0.445773,21.4
0.477951,20
0.405363,20.8
0.251701,21.2
0.389299,20.3
0.174745,28
0.192265,23.9
0.151954,24.8
0.146533,22.9
0.222234,23.9
0.256169,26.6
0.22871,22.5
0.327252,22.2
0.252404,23.6
0.234433,28.7
0.203409,22.6
0.165659,22
0.179263,22.9
0.112598,25
0.183831,20.6
0.580911,28.4
0.545771,21.4
0.574837,38.7
0.379259,43.8
0.312644,33.2
0.714542,27.5
0.542157,26.5
1.116642,18.6
1.03055,19.3
0.669062,20.1
0.634022,19.5
0.827693,19.5
0.626743,20.4
0.61093,19.8
1.291688,19.4
0.510079,21.7
0.474488,22.8
0.587186,18.8
1.083309,18.7
0.682666,18.5
0.828395,18.3
0.628801,21.2
0.726189,19.2
0.623781,20.4
0.694965,19.3
0.314601,22
0.327955,20.3
0.435081,20.5
0.723177,17.3
0.462691,18.8
0.816749,21.4
1.912759,15.7
1.269199,16.2
1.601922,18
4.392122,14.3
1.675365,19.2
5.956796,19.6
2.930307,23
1.62396,18.4
4.868617,15.6
2.768312,18.1
1.587917,17.4
1.73696,17.1
1.222262,13.3
2.701748,17.8
1.428583,14
8.143997,14.4
16.639843,13.4
